FIGHTER 1,HEIGHT 1,WEIGHT 1,REACH 1,STANCE 1,DATE OF BIRTH 1,SIGNIFICANT STRIKES LANDED PER MINUTE 1,SIGNIFICANT STRIKING ACCURACY 1,SIGNIFICANT STRIKES ABSORBED PER MINUTE 1,SIGNIFICANT STRIKE DEFENCE 1,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 1,TAKE DOWN ACCURACY 1,TAKEDOWN DEFENSE 1,AVERAGE SUBMISSIONS 1,WIN/LOSS PERCENTAGE 1,WINS 1,LOSSES 1,DRAWS 1,NO CONTESTS 1,FIGHTER 2,HEIGHT 2,WEIGHT 2,REACH 2,STANCE 2,DATE OF BIRTH 2,SIGNIFICANT STRIKES LANDED PER MINUTE 2,SIGNIFICANT STRIKING ACCURACY 2,SIGNIFICANT STRIKES ABSORBED PER MINUTE 2,SIGNIFICANT STRIKE DEFENCE 2,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 2,TAKE DOWN ACCURACY 2,TAKEDOWN DEFENSE 2,AVERAGE SUBMISSIONS 2,WIN/LOSS PERCENTAGE 2,WINS 2,LOSSES 2,DRAWS 2,NO CONTESTS 2,WINNER
Darren Elkins,70.0,145.0,71.0,Orthodox,40.0,3.44,0.38,3.27,0.52,2.85,0.35,0.56,1.1,0.718,28.0,11.0,0.0,0.0,Tj Brown,69.0,145.0,72.0,Switch,34.0,3.37,0.44,2.89,0.49,3.41,0.57,0.36,1.3,0.607,17.0,11.0,0.0,0.0,1
Dooho Choi,70.0,145.0,70.0,Orthodox,33.0,4.74,0.53,4.91,0.54,0.29,0.2,0.5,0.0,0.737,14.0,4.0,1.0,0.0,Kyle Nelson,71.0,145.0,71.0,Switch,33.0,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,0.714,15.0,5.0,1.0,0.0,2
Spencer Fisher,67.0,155.0,68.0,Southpaw,48.0,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8,0.727,24.0,9.0,0.0,0.0,Dan Lauzon,70.0,155.0,0.0,Orthodox,36.0,1.34,0.25,4.09,0.61,1.63,0.33,0.8,2.7,0.739,17.0,6.0,0.0,0.0,1
Marion Reneau,66.0,135.0,68.0,Orthodox,47.0,3.2,0.41,3.52,0.59,0.62,0.63,0.5,0.8,0.5,9.0,8.0,1.0,0.0,Yana Santos,66.0,135.0,68.0,Orthodox,35.0,4.16,0.56,3.03,0.5,1.11,0.53,0.42,0.1,0.609,14.0,8.0,0.0,1.0,0
Tyron Woodley,69.0,170.0,74.0,Orthodox,42.0,2.36,0.48,2.76,0.54,1.06,0.4,0.87,0.4,0.704,19.0,7.0,1.0,0.0,Kelvin Gastelum,69.0,170.0,71.0,Southpaw,33.0,3.55,0.41,3.23,0.58,0.96,0.3,0.59,0.1,0.643,18.0,9.0,0.0,1.0,1
Stipe Miocic,76.0,240.0,80.0,Orthodox,42.0,4.82,0.53,3.82,0.54,1.86,0.34,0.68,0.0,0.833,20.0,4.0,0.0,0.0,Shane Del Rosario,76.0,250.0,0.0,Southpaw,41.0,3.93,0.6,2.97,0.54,1.2,0.4,0.16,2.4,0.846,11.0,2.0,0.0,0.0,1
Dan Miller,73.0,185.0,74.0,Orthodox,43.0,2.03,0.36,3.06,0.49,1.67,0.54,0.47,1.8,0.609,14.0,8.0,0.0,1.0,Matt Horwich,73.0,185.0,0.0,Orthodox,46.0,1.11,0.62,2.16,0.38,0.33,0.09,0.28,2.7,0.536,30.0,25.0,1.0,0.0,1
Derrick Lewis,75.0,260.0,79.0,Orthodox,39.0,2.43,0.5,2.48,0.4,0.53,0.26,0.53,0.0,0.675,27.0,12.0,0.0,1.0,Marcin Tybura,75.0,249.0,78.0,Orthodox,39.0,3.55,0.48,3.35,0.55,1.39,0.33,0.79,0.1,0.75,24.0,8.0,0.0,0.0,1
Kurt Holobaugh,71.0,155.0,70.0,Orthodox,38.0,4.89,0.44,4.44,0.48,0.87,0.36,0.5,1.1,0.724,21.0,7.0,0.0,1.0,Austin Hubbard,70.0,155.0,71.0,Orthodox,33.0,3.83,0.46,3.37,0.56,1.55,0.52,0.63,0.0,0.696,16.0,7.0,0.0,0.0,1
Wanderlei Silva,71.0,205.0,74.0,Orthodox,48.0,2.79,0.4,2.19,0.6,0.97,0.53,0.62,0.6,0.7,35.0,13.0,1.0,1.0,Michael Bisping,73.0,185.0,75.0,Orthodox,45.0,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,0.769,30.0,9.0,0.0,0.0,1
Jake Ellenberger,69.0,170.0,71.0,Orthodox,39.0,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4,0.674,31.0,15.0,0.0,0.0,Kelvin Gastelum,69.0,170.0,71.0,Southpaw,33.0,3.55,0.41,3.23,0.58,0.96,0.3,0.59,0.1,0.643,18.0,9.0,0.0,1.0,0
Mike Swick,73.0,170.0,77.0,Orthodox,45.0,2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6,0.714,15.0,6.0,0.0,0.0,Damarques Johnson,73.0,170.0,75.0,Orthodox,42.0,2.11,0.37,3.75,0.51,1.18,0.55,0.19,0.7,0.5,15.0,15.0,0.0,0.0,1
Justin Tafa,72.0,264.0,74.0,Southpaw,31.0,5.13,0.55,5.93,0.49,0.0,0.0,1.0,0.0,0.636,7.0,3.0,0.0,1.0,Austen Lane,78.0,245.0,80.0,Orthodox,37.0,4.48,0.47,2.85,0.48,0.0,0.0,0.0,0.0,0.706,12.0,4.0,0.0,1.0,1
Andrew Sanchez,73.0,185.0,74.0,Orthodox,36.0,4.3,0.43,5.1,0.5,2.55,0.36,1.0,0.0,0.65,13.0,7.0,0.0,0.0,Trevor Smith,75.0,185.0,75.0,Orthodox,43.0,3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7,0.6,15.0,10.0,0.0,0.0,1
Dong Hyun Ma,71.0,155.0,70.0,Orthodox,36.0,2.84,0.41,4.1,0.54,1.27,0.53,0.33,0.0,0.533,16.0,11.0,3.0,0.0,Omar Morales,71.0,155.0,73.0,Orthodox,39.0,3.42,0.4,3.18,0.58,0.46,1.0,0.63,0.0,0.733,11.0,4.0,0.0,0.0,0
Rani Yahya,66.0,135.0,67.0,Orthodox,40.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9,0.683,28.0,11.0,1.0,1.0,Mike Brown,66.0,145.0,70.0,Orthodox,49.0,2.98,0.44,2.45,0.6,3.23,0.4,0.66,0.6,0.743,26.0,9.0,0.0,0.0,1
Da Woon Jung,76.0,205.0,78.0,Orthodox,31.0,3.49,0.43,3.89,0.51,1.9,0.5,0.77,0.2,0.714,15.0,5.0,1.0,0.0,Devin Clark,72.0,205.0,75.0,Orthodox,34.0,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1,0.609,14.0,9.0,0.0,0.0,0
Francis Ngannou,76.0,250.0,83.0,Orthodox,38.0,2.33,0.41,2.16,0.41,0.76,0.62,0.71,0.3,0.85,17.0,3.0,0.0,0.0,Anthony Hamilton,77.0,260.0,76.0,Orthodox,44.0,3.91,0.65,3.02,0.45,2.62,0.42,0.78,0.0,0.625,15.0,9.0,0.0,0.0,1
Jamie Pickett,74.0,185.0,80.0,Orthodox,36.0,2.84,0.48,3.92,0.49,1.44,0.4,0.69,0.1,0.565,13.0,10.0,0.0,0.0,Joseph Holmes,76.0,185.0,80.0,Orthodox,29.0,2.88,0.53,3.08,0.54,1.49,0.4,0.5,0.8,0.667,8.0,4.0,0.0,0.0,1
Alex Oliveira,71.0,170.0,76.0,Orthodox,36.0,2.99,0.51,2.55,0.46,2.35,0.38,0.63,0.6,0.595,22.0,12.0,1.0,2.0,Piotr Hallmann,69.0,155.0,71.0,Orthodox,37.0,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,0.75,18.0,6.0,0.0,0.0,1
Daron Cruickshank,68.0,155.0,72.0,Switch,39.0,2.88,0.38,2.98,0.57,2.04,0.41,0.6,0.2,0.621,18.0,10.0,0.0,1.0,Mike Rio,70.0,155.0,70.0,Orthodox,43.0,1.68,0.39,2.99,0.53,2.58,0.27,0.0,1.0,0.667,10.0,5.0,0.0,0.0,1
Matt Hamill,73.0,205.0,76.0,Orthodox,48.0,3.69,0.42,3.8,0.61,3.0,0.34,0.91,0.0,0.6,12.0,8.0,0.0,0.0,Jon Jones,76.0,248.0,84.0,Orthodox,37.0,4.29,0.57,2.22,0.64,1.93,0.45,0.95,0.5,0.931,27.0,1.0,0.0,1.0,1
Rani Yahya,66.0,135.0,67.0,Orthodox,40.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9,0.683,28.0,11.0,1.0,1.0,Luke Sanders,66.0,135.0,67.0,Southpaw,39.0,6.61,0.52,4.37,0.5,0.71,0.3,0.72,0.2,0.722,13.0,5.0,0.0,0.0,1
Aspen Ladd,66.0,135.0,66.0,Orthodox,29.0,3.78,0.47,4.65,0.47,1.56,0.47,0.62,0.6,0.75,9.0,3.0,0.0,0.0,Yana Santos,66.0,135.0,68.0,Orthodox,35.0,4.16,0.56,3.03,0.5,1.11,0.53,0.42,0.1,0.609,14.0,8.0,0.0,1.0,1
Bryan Battle,73.0,170.0,77.0,Orthodox,30.0,4.52,0.54,3.73,0.42,0.94,0.25,0.45,0.6,0.846,11.0,2.0,0.0,0.0,Takashi Sato,70.0,170.0,73.0,Southpaw,34.0,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0.0,0.696,16.0,7.0,0.0,0.0,1
Alonzo Menifield,72.0,205.0,76.0,Orthodox,37.0,3.92,0.57,3.51,0.49,0.67,0.33,0.75,0.3,0.789,15.0,3.0,1.0,0.0,Ed Herman,73.0,205.0,77.0,Orthodox,44.0,3.31,0.48,3.71,0.42,1.96,0.47,0.59,1.0,0.614,27.0,16.0,0.0,1.0,1
Gleison Tibau,70.0,155.0,71.0,Southpaw,41.0,1.95,0.31,2.51,0.63,4.08,0.53,0.92,0.8,0.702,33.0,14.0,0.0,0.0,Piotr Hallmann,69.0,155.0,71.0,Orthodox,37.0,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,0.75,18.0,6.0,0.0,0.0,1
Gan Mcgee,82.0,265.0,0.0,Orthodox,48.0,2.2,0.29,2.31,0.59,0.65,0.25,0.83,0.0,0.722,13.0,5.0,0.0,0.0,Pedro Rizzo,73.0,241.0,0.0,Orthodox,50.0,1.93,0.34,3.02,0.5,0.26,0.28,0.78,0.0,0.645,20.0,11.0,0.0,0.0,1
Melvin Guillard,69.0,155.0,71.0,Orthodox,41.0,2.96,0.4,1.85,0.66,1.3,0.63,0.61,0.2,0.582,32.0,18.0,2.0,3.0,Gleison Tibau,70.0,155.0,71.0,Southpaw,41.0,1.95,0.31,2.51,0.63,4.08,0.53,0.92,0.8,0.702,33.0,14.0,0.0,0.0,1
Evan Dunham,70.0,155.0,70.0,Southpaw,43.0,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1.0,0.643,18.0,9.0,1.0,0.0,Efrain Escudero,69.0,155.0,71.0,Orthodox,38.0,2.92,0.44,2.3,0.63,1.31,0.4,0.66,0.8,0.7,28.0,12.0,0.0,0.0,1
Gabriel Benitez,68.0,155.0,71.0,Southpaw,36.0,4.92,0.41,4.26,0.62,0.24,0.5,0.55,1.0,0.657,23.0,12.0,0.0,0.0,Humberto Bandenay,71.0,145.0,71.0,Southpaw,30.0,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,0.636,14.0,7.0,0.0,1.0,1
Matt Serra,66.0,170.0,68.0,Orthodox,50.0,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9,0.611,11.0,7.0,0.0,0.0,Georges St-pierre,71.0,185.0,76.0,Orthodox,43.0,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1,0.929,26.0,2.0,0.0,0.0,1
Rony Jason,67.0,145.0,73.0,Orthodox,40.0,2.04,0.44,3.14,0.53,0.59,0.3,0.36,0.8,0.636,14.0,7.0,0.0,1.0,Mike Wilkinson,67.0,145.0,66.0,Orthodox,37.0,2.35,0.38,3.7,0.35,0.92,0.14,0.55,0.9,0.692,9.0,4.0,0.0,0.0,1
Magomed Ankalaev,75.0,205.0,75.0,Orthodox,32.0,3.64,0.53,2.25,0.59,1.02,0.31,0.86,0.0,0.864,19.0,1.0,1.0,1.0,Johnny Walker,78.0,205.0,82.0,Orthodox,32.0,3.81,0.53,2.83,0.44,0.46,1.0,0.57,0.9,0.7,21.0,8.0,0.0,1.0,3
Leonardo Santos,72.0,155.0,75.0,Orthodox,44.0,2.82,0.46,3.4,0.54,0.88,0.25,0.86,0.2,0.692,18.0,7.0,1.0,0.0,Norman Parke,71.0,155.0,70.0,Southpaw,38.0,3.06,0.35,2.88,0.64,1.98,0.26,0.77,0.0,0.767,23.0,6.0,1.0,0.0,2
Marlon Vera,68.0,135.0,70.0,Switch,32.0,4.37,0.5,5.16,0.51,0.58,0.39,0.7,0.9,0.7,21.0,8.0,1.0,0.0,Guangyou Ning,64.0,145.0,64.0,Southpaw,43.0,2.66,0.41,1.91,0.61,1.09,0.5,0.62,0.3,0.5,5.0,4.0,1.0,0.0,1
Aj Dobson,73.0,185.0,76.0,Orthodox,32.0,4.38,0.47,5.25,0.47,1.82,0.75,0.64,0.3,0.7,7.0,2.0,0.0,1.0,Jacob Malkoun,69.0,185.0,73.0,Orthodox,29.0,3.89,0.56,2.49,0.5,7.2,0.44,0.0,0.5,0.7,7.0,3.0,0.0,0.0,0
Demian Maia,73.0,170.0,72.0,Southpaw,47.0,1.8,0.43,2.07,0.63,2.49,0.24,0.61,1.0,0.718,28.0,11.0,0.0,0.0,Anthony Rocco Martin,72.0,170.0,73.0,Orthodox,35.0,2.68,0.37,2.59,0.58,0.71,0.27,0.68,1.0,0.739,17.0,6.0,0.0,0.0,1
Joe Duffy,70.0,155.0,73.0,Orthodox,36.0,2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7,0.762,16.0,5.0,0.0,0.0,Ivan Jorge,69.0,155.0,73.0,Orthodox,44.0,3.41,0.49,2.91,0.59,1.56,0.16,0.75,0.6,0.794,27.0,7.0,0.0,0.0,1
Diego Brandao,67.0,145.0,64.0,Orthodox,37.0,2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6,0.667,22.0,11.0,0.0,0.0,Dennis Bermudez,66.0,155.0,66.0,Orthodox,38.0,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,0.654,17.0,9.0,0.0,0.0,1
Max Holloway,71.0,145.0,69.0,Orthodox,33.0,7.17,0.47,4.75,0.59,0.27,0.53,0.84,0.3,0.781,25.0,7.0,0.0,0.0,Brian Ortega,68.0,145.0,69.0,Switch,33.0,4.07,0.38,6.54,0.49,1.17,0.27,0.57,1.2,0.8,16.0,3.0,0.0,1.0,1
Josh Parisian,76.0,265.0,79.0,Orthodox,35.0,4.54,0.48,4.81,0.41,0.99,0.33,0.46,0.2,0.682,15.0,7.0,0.0,0.0,Jamal Pogues,75.0,205.0,77.0,Orthodox,29.0,3.36,0.44,4.17,0.5,2.4,0.48,0.77,0.0,0.733,11.0,4.0,0.0,0.0,0
Terry Etim,73.0,155.0,73.0,Orthodox,38.0,2.16,0.35,2.53,0.67,0.43,0.3,0.39,1.4,0.762,16.0,5.0,0.0,0.0,Justin Buchholz,72.0,155.0,73.0,Orthodox,41.0,2.35,0.26,4.14,0.51,0.0,0.0,0.33,0.8,0.6,15.0,10.0,0.0,0.0,1
Jessica Penne,65.0,115.0,67.0,Orthodox,41.0,2.52,0.31,4.75,0.46,1.32,0.21,0.36,0.6,0.636,14.0,8.0,0.0,0.0,Jessica Andrade,61.0,115.0,62.0,Orthodox,33.0,6.67,0.5,5.36,0.54,2.45,0.54,0.72,0.4,0.676,25.0,12.0,0.0,0.0,0
Mayra Bueno Silva,66.0,135.0,66.0,Orthodox,33.0,3.84,0.57,4.86,0.53,0.68,0.38,0.68,1.6,0.667,10.0,3.0,1.0,1.0,Maryna Moroz,67.0,125.0,67.0,Orthodox,33.0,4.15,0.31,4.42,0.53,0.67,0.22,0.45,0.7,0.688,11.0,5.0,0.0,0.0,0
Robert Whittaker,72.0,185.0,73.0,Orthodox,34.0,4.57,0.42,3.45,0.59,0.81,0.38,0.82,0.0,0.788,26.0,7.0,0.0,0.0,Kelvin Gastelum,69.0,170.0,71.0,Southpaw,33.0,3.55,0.41,3.23,0.58,0.96,0.3,0.59,0.1,0.643,18.0,9.0,0.0,1.0,1
Dustin Hazelett,73.0,170.0,76.0,Orthodox,38.0,2.24,0.4,3.51,0.46,0.55,0.5,0.25,4.1,0.632,12.0,7.0,0.0,0.0,Stevie Lynch,70.0,170.0,0.0,Orthodox,0.0,2.47,0.25,7.06,0.41,0.0,0.0,0.0,0.0,0.714,5.0,2.0,0.0,0.0,1
Rustam Khabilov,68.0,155.0,73.0,Orthodox,38.0,1.98,0.34,2.16,0.65,3.95,0.41,0.61,0.1,0.857,24.0,4.0,0.0,0.0,Adriano Martins,70.0,155.0,72.0,Southpaw,42.0,1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4,0.757,28.0,9.0,0.0,0.0,0
Michael Johnson,70.0,155.0,73.0,Southpaw,38.0,4.27,0.39,3.83,0.57,0.62,0.41,0.81,0.0,0.548,23.0,19.0,0.0,0.0,Myles Jury,70.0,145.0,73.0,Orthodox,36.0,2.94,0.42,2.16,0.66,2.16,0.55,0.5,0.3,0.81,17.0,4.0,0.0,0.0,0
Marion Reneau,66.0,135.0,68.0,Orthodox,47.0,3.2,0.41,3.52,0.59,0.62,0.63,0.5,0.8,0.5,9.0,8.0,1.0,0.0,Talita Bernardo,64.0,135.0,68.0,Orthodox,37.0,3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5,0.6,6.0,4.0,0.0,0.0,1
Omari Akhmedov,72.0,185.0,73.0,Orthodox,37.0,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,0.75,21.0,6.0,1.0,0.0,Mats Nilsson,73.0,170.0,0.0,Orthodox,41.0,2.99,0.39,5.62,0.63,3.87,0.83,0.44,2.3,0.688,11.0,4.0,1.0,0.0,1
Charles Oliveira,70.0,155.0,74.0,Orthodox,35.0,3.54,0.53,3.19,0.51,2.32,0.4,0.55,2.7,0.773,34.0,9.0,0.0,1.0,Michael Chandler,68.0,155.0,71.0,Orthodox,38.0,4.89,0.46,4.58,0.46,2.17,0.38,0.71,0.9,0.742,23.0,8.0,0.0,0.0,1
Josh Emmett,66.0,145.0,70.0,Orthodox,39.0,4.04,0.36,4.61,0.61,0.91,0.37,0.46,0.1,0.826,19.0,4.0,0.0,0.0,Dan Ige,67.0,145.0,71.0,Orthodox,33.0,3.76,0.45,3.52,0.57,1.06,0.26,0.58,0.3,0.72,18.0,7.0,0.0,0.0,1
Kyle Stewart,72.0,170.0,76.0,Orthodox,35.0,1.41,0.35,2.42,0.43,1.32,0.2,0.6,0.0,0.786,11.0,3.0,0.0,0.0,Chance Rencountre,74.0,170.0,75.0,Southpaw,38.0,1.1,0.2,3.62,0.49,1.35,0.26,0.16,0.3,0.778,14.0,4.0,0.0,0.0,0
Johnny Case,70.0,155.0,72.0,Orthodox,35.0,3.95,0.38,2.66,0.61,1.7,0.45,0.72,0.2,0.786,22.0,6.0,0.0,0.0,Frankie Perez,71.0,155.0,73.0,Orthodox,35.0,1.64,0.41,2.17,0.54,1.75,0.41,0.5,0.3,0.714,10.0,4.0,0.0,0.0,1
Benson Henderson,69.0,170.0,70.0,Southpaw,41.0,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,0.774,24.0,7.0,0.0,0.0,Anthony Pettis,70.0,155.0,72.0,Orthodox,37.0,3.05,0.47,3.44,0.54,0.61,0.5,0.6,1.1,0.706,24.0,10.0,0.0,0.0,0
Chas Skelly,71.0,145.0,72.0,Orthodox,39.0,2.01,0.4,3.21,0.49,1.74,0.34,0.39,2.3,0.826,19.0,3.0,0.0,1.0,Jordan Griffin,70.0,145.0,73.0,Southpaw,34.0,2.52,0.46,3.02,0.5,1.45,0.35,0.42,1.9,0.667,18.0,9.0,0.0,0.0,1
Frankie Edgar,66.0,135.0,68.0,Orthodox,43.0,3.77,0.4,2.82,0.65,2.29,0.31,0.65,0.3,0.657,23.0,11.0,1.0,0.0,Marlon Vera,68.0,135.0,70.0,Switch,32.0,4.37,0.5,5.16,0.51,0.58,0.39,0.7,0.9,0.7,21.0,8.0,1.0,0.0,0
David Loiseau,72.0,185.0,76.0,Orthodox,45.0,1.59,0.44,3.64,0.43,0.43,0.42,0.36,0.1,0.676,23.0,11.0,0.0,0.0,Gideon Ray,70.0,185.0,0.0,Southpaw,51.0,2.08,0.4,2.58,0.53,1.49,1.0,0.0,0.0,0.515,17.0,15.0,1.0,0.0,1
Khadis Ibragimov,75.0,205.0,78.0,Orthodox,29.0,3.55,0.49,4.26,0.47,0.97,0.3,0.8,0.3,0.667,8.0,4.0,0.0,0.0,Danilo Marques,78.0,205.0,77.0,Orthodox,39.0,1.44,0.79,2.52,0.52,3.93,0.28,0.0,0.8,0.733,11.0,4.0,0.0,0.0,0
Brad Tavares,73.0,185.0,74.0,Orthodox,37.0,3.38,0.43,3.15,0.55,0.78,0.26,0.81,0.0,0.667,20.0,10.0,0.0,0.0,Robert Mcdaniel,75.0,185.0,75.0,Southpaw,41.0,1.64,0.44,1.98,0.56,0.93,0.5,0.5,1.4,0.737,28.0,10.0,0.0,0.0,1
Murilo Bustamante,74.0,183.0,0.0,Orthodox,58.0,1.33,0.32,1.9,0.6,2.46,0.33,0.54,1.2,0.625,15.0,8.0,1.0,0.0,Dave Menne,70.0,170.0,0.0,Orthodox,50.0,1.84,0.44,1.99,0.42,0.46,0.5,0.57,2.5,0.703,45.0,17.0,2.0,0.0,1
Ricky Turcios,69.0,135.0,71.0,Orthodox,31.0,5.08,0.37,3.7,0.55,1.0,0.25,0.45,0.2,0.812,13.0,3.0,0.0,0.0,Brady Hiestand,68.0,135.0,71.0,Orthodox,25.0,2.93,0.52,3.65,0.53,4.06,0.46,0.42,0.3,0.8,8.0,2.0,0.0,0.0,1
Marc Diakiese,70.0,155.0,73.0,Orthodox,31.0,2.54,0.4,2.64,0.52,3.29,0.43,0.66,0.0,0.708,17.0,7.0,0.0,0.0,Drakkar Klose,69.0,155.0,70.0,Orthodox,36.0,4.33,0.55,3.4,0.52,1.78,0.3,0.68,0.0,0.824,14.0,2.0,1.0,0.0,0
Oleg Taktarov,72.0,210.0,0.0,Orthodox,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,17.0,5.0,2.0,0.0,David Abbott,72.0,265.0,0.0,Switch,0.0,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,0.4,10.0,15.0,0.0,0.0,1
Drew Mcfedries,72.0,185.0,72.0,Southpaw,46.0,5.13,0.51,4.56,0.52,1.42,1.0,0.56,0.7,0.632,12.0,7.0,0.0,0.0,Xavier Foupa-pokam,73.0,185.0,0.0,Open Stance,42.0,1.47,0.43,2.5,0.49,0.0,0.0,0.16,0.0,0.593,32.0,22.0,0.0,0.0,1
Journey Newson,65.0,135.0,67.0,Orthodox,35.0,2.64,0.32,2.57,0.64,0.56,0.16,0.43,0.3,0.625,10.0,5.0,0.0,1.0,Randy Costa,69.0,135.0,73.0,Switch,30.0,6.53,0.46,7.58,0.58,0.0,0.0,0.5,0.0,0.6,6.0,4.0,0.0,0.0,0
Roman Dolidze,74.0,185.0,76.0,Orthodox,36.0,2.62,0.39,3.36,0.51,1.3,0.4,0.33,1.3,0.8,12.0,3.0,0.0,0.0,Laureano Staropoli,73.0,185.0,71.0,Orthodox,31.0,3.31,0.34,3.73,0.54,0.83,0.26,0.48,0.0,0.643,9.0,5.0,0.0,0.0,1
Tom Duquesnoy,67.0,135.0,68.0,Orthodox,31.0,3.83,0.45,5.3,0.62,0.42,0.25,0.46,0.0,0.842,16.0,2.0,0.0,1.0,Cody Stamann,66.0,135.0,64.0,Orthodox,35.0,4.39,0.47,3.63,0.62,2.34,0.39,0.76,0.0,0.75,21.0,6.0,1.0,0.0,0
Takeya Mizugaki,67.0,135.0,69.0,Orthodox,41.0,3.37,0.37,3.27,0.57,1.46,0.57,0.7,0.1,0.618,21.0,11.0,2.0,0.0,Francisco Rivera,68.0,135.0,70.0,Orthodox,43.0,4.07,0.41,3.16,0.68,1.01,0.63,0.68,0.6,0.579,11.0,7.0,0.0,1.0,1
Dooho Choi,70.0,145.0,70.0,Orthodox,33.0,4.74,0.53,4.91,0.54,0.29,0.2,0.5,0.0,0.737,14.0,4.0,1.0,0.0,Sam Sicilia,68.0,145.0,67.0,Orthodox,38.0,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9,0.652,15.0,8.0,0.0,0.0,1
Gunnar Nelson,71.0,170.0,72.0,Switch,36.0,1.84,0.61,3.0,0.49,1.9,0.59,0.66,1.0,0.76,19.0,5.0,1.0,0.0,Gilbert Burns,70.0,170.0,71.0,Orthodox,38.0,3.36,0.48,3.34,0.54,1.95,0.35,0.47,0.5,0.786,22.0,6.0,0.0,0.0,0
Matt Hughes,69.0,170.0,73.0,Switch,51.0,2.14,0.53,1.36,0.53,2.95,0.5,0.35,1.2,0.833,45.0,9.0,0.0,0.0,Valeri Ignatov,69.0,170.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,2.0,0.0,0.0,1
Jonathan Wilson,74.0,205.0,75.0,Southpaw,37.0,2.92,0.48,5.65,0.56,0.37,1.0,0.8,0.0,0.7,7.0,3.0,0.0,0.0,Henrique Da Silva,75.0,205.0,76.0,Orthodox,35.0,3.89,0.6,5.28,0.4,0.25,0.14,0.22,0.2,0.737,14.0,5.0,0.0,0.0,0
Cristiane Justino,68.0,145.0,68.0,Orthodox,39.0,7.28,0.52,2.25,0.64,0.66,0.55,0.94,0.4,0.875,21.0,2.0,0.0,1.0,Tonya Evinger,67.0,135.0,70.0,Orthodox,43.0,1.16,0.42,4.02,0.38,0.93,0.3,0.33,0.9,0.679,19.0,8.0,0.0,1.0,1
Bryan Battle,73.0,170.0,77.0,Orthodox,30.0,4.52,0.54,3.73,0.42,0.94,0.25,0.45,0.6,0.846,11.0,2.0,0.0,0.0,Rinat Fakhretdinov,72.0,170.0,74.0,Orthodox,33.0,4.05,0.56,2.16,0.52,4.25,0.46,1.0,0.3,0.913,21.0,1.0,1.0,0.0,0
Marlon Vera,68.0,135.0,70.0,Switch,32.0,4.37,0.5,5.16,0.51,0.58,0.39,0.7,0.9,0.7,21.0,8.0,1.0,0.0,Andre Ewell,68.0,145.0,75.0,Southpaw,36.0,4.28,0.4,4.87,0.51,0.36,0.75,0.72,0.1,0.654,17.0,9.0,0.0,0.0,1
Dong Hyun Kim,74.0,170.0,76.0,Southpaw,43.0,2.12,0.49,1.89,0.58,2.93,0.43,0.71,0.6,0.786,22.0,4.0,1.0,1.0,Tj Grant,70.0,155.0,72.0,Orthodox,40.0,3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6,0.808,21.0,5.0,0.0,0.0,1
Ray Borg,64.0,135.0,63.0,Orthodox,31.0,1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0,0.722,13.0,5.0,0.0,0.0,Chris Kelades,67.0,125.0,68.0,Orthodox,43.0,2.4,0.43,2.64,0.48,1.04,0.18,0.53,0.3,0.75,9.0,3.0,0.0,0.0,1
Gilbert Burns,70.0,170.0,71.0,Orthodox,38.0,3.36,0.48,3.34,0.54,1.95,0.35,0.47,0.5,0.786,22.0,6.0,0.0,0.0,Michel Prazeres,66.0,170.0,67.0,Orthodox,43.0,2.38,0.47,2.51,0.57,3.94,0.36,0.47,0.6,0.867,26.0,4.0,0.0,0.0,0
