FIGHTER 1,HEIGHT 1,WEIGHT 1,REACH 1,STANCE 1,DATE OF BIRTH 1,SIGNIFICANT STRIKES LANDED PER MINUTE 1,SIGNIFICANT STRIKING ACCURACY 1,SIGNIFICANT STRIKES ABSORBED PER MINUTE 1,SIGNIFICANT STRIKE DEFENCE 1,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 1,TAKE DOWN ACCURACY 1,TAKEDOWN DEFENSE 1,AVERAGE SUBMISSIONS 1,WIN/LOSS PERCENTAGE 1,WINS 1,LOSSES 1,DRAWS 1,NO CONTESTS 1,FIGHTER 2,HEIGHT 2,WEIGHT 2,REACH 2,STANCE 2,DATE OF BIRTH 2,SIGNIFICANT STRIKES LANDED PER MINUTE 2,SIGNIFICANT STRIKING ACCURACY 2,SIGNIFICANT STRIKES ABSORBED PER MINUTE 2,SIGNIFICANT STRIKE DEFENCE 2,AVERAGE TAKEDOWNS LANDED PER 15 MINUTES 2,TAKE DOWN ACCURACY 2,TAKEDOWN DEFENSE 2,AVERAGE SUBMISSIONS 2,WIN/LOSS PERCENTAGE 2,WINS 2,LOSSES 2,DRAWS 2,NO CONTESTS 2,WINNER
Jessica Eye,66.0,125.0,66.0,Orthodox,38.0,3.86,0.37,4.19,0.55,0.58,0.4,0.57,0.5,0.556,15.0,11.0,0.0,1.0,Joanne Wood,66.0,125.0,65.0,Orthodox,39.0,6.93,0.51,4.72,0.51,1.57,0.54,0.59,0.3,0.667,16.0,8.0,0.0,0.0,0
Bec Rawlings,66.0,125.0,64.0,Orthodox,35.0,4.48,0.42,5.66,0.57,0.71,0.4,0.68,0.4,0.467,7.0,8.0,0.0,0.0,Heather Clark,66.0,115.0,64.0,Orthodox,44.0,3.69,0.49,5.62,0.5,0.33,0.04,0.8,0.3,0.538,7.0,6.0,0.0,0.0,0
Glover Teixeira,74.0,205.0,76.0,Orthodox,45.0,3.73,0.49,4.43,0.51,2.11,0.33,0.6,0.9,0.786,33.0,9.0,0.0,0.0,Ryan Bader,74.0,205.0,74.0,Orthodox,41.0,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,0.821,23.0,5.0,0.0,0.0,1
Arman Tsarukyan,67.0,155.0,72.0,Orthodox,28.0,3.85,0.48,1.91,0.54,3.4,0.36,0.75,0.0,0.875,21.0,3.0,0.0,0.0,Joaquim Silva,68.0,155.0,69.0,Southpaw,35.0,3.61,0.41,4.51,0.54,0.45,0.6,0.64,0.7,0.722,13.0,5.0,0.0,0.0,1
Cody Garbrandt,68.0,135.0,65.0,Orthodox,33.0,3.06,0.4,3.91,0.6,1.1,0.34,0.8,0.0,0.737,14.0,5.0,0.0,0.0,Takeya Mizugaki,67.0,135.0,69.0,Orthodox,41.0,3.37,0.37,3.27,0.57,1.46,0.57,0.7,0.1,0.618,21.0,11.0,2.0,0.0,1
Gina Mazany,66.0,125.0,68.0,Southpaw,36.0,3.73,0.5,3.52,0.5,4.34,0.52,0.33,0.2,0.538,7.0,6.0,0.0,0.0,Rachael Ostovich,63.0,125.0,62.0,Orthodox,33.0,2.54,0.43,3.97,0.57,2.03,0.83,0.66,0.8,0.4,4.0,6.0,0.0,0.0,1
Lina Lansberg,67.0,135.0,65.0,Orthodox,42.0,2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1,0.556,10.0,8.0,0.0,0.0,Pannie Kianzad,67.0,135.0,66.0,Orthodox,33.0,4.87,0.49,3.75,0.53,0.35,0.3,0.71,0.1,0.708,17.0,7.0,0.0,0.0,0
Aljamain Sterling,67.0,145.0,71.0,Orthodox,35.0,4.73,0.52,2.41,0.58,1.97,0.24,0.45,0.8,0.852,23.0,4.0,0.0,0.0,Cory Sandhagen,71.0,135.0,70.0,Switch,32.0,5.33,0.44,3.4,0.58,1.36,0.33,0.64,0.3,0.81,17.0,4.0,0.0,0.0,1
Kleydson Rodrigues,65.0,135.0,67.0,Orthodox,29.0,5.48,0.62,2.75,0.48,0.85,0.25,0.63,0.8,0.727,8.0,3.0,0.0,0.0,Cj Vergara,66.0,125.0,68.0,Orthodox,33.0,6.01,0.57,5.01,0.53,0.0,0.0,0.74,0.2,0.706,12.0,4.0,1.0,0.0,0
Rashad Evans,72.0,205.0,75.0,Orthodox,45.0,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0,0.679,19.0,8.0,1.0,0.0,Forrest Griffin,75.0,205.0,77.0,Orthodox,45.0,4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7,0.731,19.0,7.0,0.0,0.0,1
Bob Cook,69.0,170.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,Tiki Ghosn,70.0,170.0,0.0,Orthodox,47.0,2.78,0.46,2.94,0.58,0.41,0.5,0.61,0.0,0.556,10.0,7.0,1.0,0.0,1
Michael Bisping,73.0,185.0,75.0,Orthodox,45.0,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,0.769,30.0,9.0,0.0,0.0,Tim Kennedy,71.0,185.0,74.0,Orthodox,45.0,2.78,0.47,1.84,0.62,2.58,0.35,0.7,0.7,0.75,18.0,6.0,0.0,0.0,0
Cyrille Diabate,78.0,205.0,81.0,Southpaw,51.0,4.06,0.71,1.78,0.6,1.17,0.83,0.53,0.2,0.633,19.0,10.0,1.0,0.0,Anthony Perosh,75.0,205.0,75.0,Orthodox,52.0,2.27,0.43,3.77,0.53,2.03,0.22,0.33,1.1,0.6,15.0,10.0,0.0,0.0,0
Renan Barao,66.0,145.0,70.0,Orthodox,37.0,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,0.773,34.0,9.0,0.0,1.0,Jeremy Stephens,69.0,145.0,71.0,Orthodox,38.0,3.17,0.4,3.05,0.58,1.16,0.38,0.65,0.4,0.583,28.0,19.0,0.0,1.0,0
Ken Stone,68.0,135.0,71.0,Southpaw,42.0,3.85,0.49,2.9,0.48,1.24,0.33,0.6,0.6,0.733,11.0,4.0,0.0,0.0,Dustin Pague,69.0,135.0,74.0,Orthodox,37.0,1.65,0.53,2.96,0.41,1.03,0.44,0.55,2.6,0.522,12.0,11.0,0.0,0.0,1
Vitor Miranda,73.0,185.0,77.0,Orthodox,45.0,2.98,0.45,2.95,0.58,0.95,0.55,0.5,0.2,0.706,12.0,5.0,0.0,0.0,Abu Azaitar,69.0,185.0,76.0,Orthodox,38.0,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0,0.737,14.0,4.0,1.0,0.0,0
Ovince Saint Preux,75.0,205.0,80.0,Southpaw,41.0,2.71,0.47,3.14,0.46,1.15,0.38,0.66,0.5,0.605,26.0,17.0,0.0,0.0,Ryan Jimmo,73.0,205.0,73.0,Orthodox,43.0,3.12,0.66,2.77,0.46,0.45,0.28,0.87,0.0,0.792,19.0,5.0,0.0,0.0,1
Douglas Silva De Andrade,67.0,135.0,68.0,Orthodox,39.0,3.66,0.38,3.99,0.58,0.61,0.46,0.7,0.2,0.829,29.0,5.0,0.0,1.0,Zubaira Tukhugov,68.0,155.0,68.0,Orthodox,33.0,3.17,0.39,3.07,0.63,2.13,0.39,1.0,0.0,0.741,20.0,6.0,1.0,0.0,0
